Entry idx 100 price 927247.60992931
idx 100 price 927247.60992931 -> {'actions': [], 'reason': 'hold', 'unrealized_pnl': 0.0}
idx 101 price 955065.03822719 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 278.1742829787999}
idx 123 price 1830003.37543087 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 9027.5576550156}
idx 124 price 1884903.47669380 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 9576.5586676449}
idx 125 price 1941450.58099462 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 10142.0297106531}
idx 126 price 1999694.09842445 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 10724.4648849514}
idx 127 price 2059684.92137719 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 11324.373114478798}
idx 128 price 2121475.46901850 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 11942.278590891898}
idx 129 price 2185119.73308906 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 12578.7212315975}
idx 130 price 2250673.32508173 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 13234.257151524196}
idx 131 price 2318193.52483418 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 13909.459149048696}
idx 132 price 2387739.33057921 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 14604.917206499}
idx 133 price 2459371.51049658 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 15321.2390056727}
idx 134 price 2533152.65581148 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 16059.050458821697}
idx 135 price 2609147.23548583 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 16818.9962555652}
idx 136 price 2687421.65255040 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 17601.740426210898}
idx 137 price 2768044.30212691 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 18407.966921976}
idx 138 price 2851085.63119072 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 19238.380212614098}
idx 139 price 2936618.20012644 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 20093.705901971298}
idx 140 price 3024716.74613024 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 20974.6913620093}
idx 141 price 3115458.24851414 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 21882.1063858483}
idx 142 price 3208921.99596957 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 22816.743860402596}
idx 143 price 3305189.65584865 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 23779.420459193396}
idx 144 price 3404345.34552411 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 24770.977355947998}
idx 145 price 3506475.70588984 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 25792.2809596053}
idx 146 price 3611669.97706653 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 26844.223671372198}
idx 147 price 3720020.07637853 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 27927.724664492198}
idx 148 price 3831620.67866988 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 29043.7306874057}
idx 149 price 3946569.29902998 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 30193.216891006698}
idx 150 price 4064966.37800088 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 31377.1876807157}
idx 151 price 4186915.36934091 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 32596.677594116}
idx 152 price 4312522.83042113 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 33852.7522049182}
idx 153 price 4441898.51533377 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 35146.509054044596}
idx 154 price 4575155.47079378 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 36479.0786086447}
idx 155 price 4712410.13491760 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 37851.6252498829}
idx 156 price 4853782.43896512 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 39265.3482903581}
idx 157 price 4999395.91213408 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 40721.4830220477}
idx 158 price 5149377.78949810 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 42221.3017956879}
idx 159 price 5303859.12318304 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 43766.1151325373}
